#IDdet	#Intercept	#Slope
256	0.0488463	0.191418
257	-0.0394137	0.185561
258	-0.040854	0.187542
259	-0.549805	0.190487
260	0.0091482	0.188805
261	-0.0176262	0.184421
262	-0.0785092	0.188164
263	-0.0698849	0.1868
264	-0.737429	0.155408
308	-0.576349	0.155182
309	0.135286	0.222283
267	-0.470765	0.187101
272	-0.15491	0.137253
273	-0.168626	0.179334
274	0.140105	0.182498
275	-0.183723	0.183574
276	-0.161294	0.18976
277	-0.171155	0.188952
278	-0.247724	0.184813
279	-0.291508	0.187458
310	-0.144729	0.19497
311	0.182507	0.196183
312	-0.202934	0.187259
283	-0.0837186	0.192494
288	-0.986356	0.435192
289	0.449705	0.441543
290	-0.574881	0.431329
291	0.0347951	0.156294
292	-0.601038	0.200418
293	-0.276432	0.190499
294	-0.17957	0.176846
295	-0.236932	0.179521
296	0.109512	0.18402
297	-0.263239	0.183351
298	0.112704	0.138903
299	0.029915	0.138282
340	-0.0950354	0.193312
341	-0.518728	0.195333
302	0.0283087	0.194517
303	0.560483	0.193809
304	-0.468542	0.192249
305	0.290858	0.189461
306	0.0559297	0.192062
307	-0.282396	0.185932
