44P 10 #
44P 10 2789.089161862609 944.4211002618804
44P 10 2793.934314481674 947.6995959695785
44P 10 2797.6476710329775 921.9639793722008
44P 10 2799.955286005492 873.7455937571605
44P 10 2799.475495533277 835.1337619746994
44P 10 2794.4808467741937 830.1431112345336
44P 10 2790.7233597129907 849.8320391703108
44P 10 2786.614171920284 877.533537281055
44P 10 2787.376214099187 930.4222570156729
44P 10 2789.0419806203536 944.9969482316328
43P 12 #
43P 12 2802.190431984522 856.2248137494164
43P 12 2806.6606829243324 869.9941643014942
43P 12 2810.5199362642024 877.6897003940634
43P 12 2813.8984352029784 864.6047221129403
43P 12 2816.7756808701383 841.1522427618154
43P 12 2817.932826216503 807.112722808982
43P 12 2815.3240552512552 777.671036156337
43P 12 2811.7609946958482 761.9478682103515
43P 12 2808.1547419230146 766.8683401838674
43P 12 2804.2917969406294 791.8296471857869
43P 12 2801.3415131517636 825.325722359365
43P 12 2802.427599506994 855.4211301868072
42P 8 #
42P 8 2821.904070915715 817.1634624530744
42P 8 2827.607993156679 828.6598700981637
42P 8 2832.94532375951 793.6706741134843
42P 8 2834.080711487801 737.3832801719766
42P 8 2827.735585551108 711.9075428355825
42P 8 2823.0892381360454 717.2516364555855
42P 8 2818.384401259884 754.6781267438618
42P 8 2821.3299858954647 817.5231339095476
41P 10 #
41P 10 2839.6771492496614 769.2362005060371
41P 10 2844.918820165819 760.1424576400163
41P 10 2849.5567229486282 739.3730658989449
41P 10 2852.5239959839855 695.5713247323966
41P 10 2847.812248814491 674.9686897575083
41P 10 2840.983702290443 672.2512381417412
41P 10 2834.759085409103 690.6852920334062
41P 10 2832.1283863436793 726.9645492751879
41P 10 2834.5655856593967 775.3947567630125
41P 10 2838.954002626481 771.8814205813719
