#runID	#Intercept	#Slope
1293	146.74	0.9542
1294	146.74	0.9542
1295	71.355	0.9542
1296	46.782	0.9628
1297	122.84	0.9628
1298	69.447	0.9542
1299	121.17	0.9631
1300	45.819	0.9628
1301	144.83	0.9542
1302	150.56	0.9542
1303	146.74	0.9542
1304	65.324	0.9811
1305	10.17	0.9719
1306	60.328	0.9811
1307	32.355	0.9905
1308	30.848	0.9902
1309	-23.892	1.0096
1310	79.175	0.9719
1311	-81.157	1.0294
1312	0	1
1313	0	1
1314	0	1
1315	-133.89	1.0194
1316	5.1641	0.9998
1317	-19.283	1.0079
1318	-67.526	1.0264
1319	-413.79	1.1519
1320	-436.22	1.1272
